"SIGN IN","ENTRAR"
"Upload image","Enviar imagem"
"Select Attribute Groups","Selecionar Grupos de Atributos"
"Payment status","Status do pagamento"
"Shipment status","Status do envio"
"Filter","Filtrar"
"Email","E-mail"
"Email is required","E-mail é obrigatório"
"Password is required","Senha é obrigatória"
"Logout","Sair"
"Sale","Vendas"
"Setting","Configurações"
"Save","Salvar"
"Delete","Excluir"
"Search","Buscar"
"Create a new product","Criar novo produto"
"Search attribute groups","Buscar grupos de atributos"
"Search categories","Buscar categorias"
"Search collections","Buscar coleções"
"Search products","Buscar produtos"
"Full Name","Nome completo"
"Payment Status","Status do Pagamento"
"Shipment Status","Status do Envio"
"Customer Email","E-mail do Cliente"
